"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\data_utils\fen_parser.py", "Python", 3, 9, 1, 13
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\data_utils\move_encoder.py", "Python", 14, 14, 7, 35
"Total", "-", 17, 23, 8, 48
